date,currency,usd_to_local
2022-08-01,JMD,153.143097000000000000
2022-08-01,BBD,2.019778000000000000
2022-08-01,VUV,118.896025000000000000
2022-08-01,FJD,2.181102000000000000
2022-08-01,GYD,209.393432000000000000
2022-08-01,XPF,113.149585000000000000
2022-08-01,BND,1.376686000000000000
2022-08-01,SBD,8.206979000000000000
2022-08-01,LTL,2.952741000000000000
2022-08-01,OMR,0.384987000000000000
2022-08-01,BDT,94.761951000000000000
2022-08-01,BTN,79.041657000000000000
2022-08-01,AOA,432.584850000000000000
2022-08-01,JEP,0.842337000000000000
2022-08-01,XDR,0.755870000000000000
2022-08-01,LSL,16.554985000000000000
2022-08-01,ANG,1.802871000000000000
2022-08-01,ARS,131.899451000000000000
2022-08-01,PGK,3.520302000000000000
2022-08-01,DJF,177.720110000000000000
2022-08-01,NAD,16.555019000000000000
2022-08-01,DKK,7.255490000000000000
2022-08-01,GNF,8749.999730000000000000
2022-08-01,MXN,20.398499000000000000
2022-08-01,MUR,44.697745000000000000
2022-08-01,DZD,145.534610000000000000
2022-08-01,JPY,131.574964000000000000
2022-08-01,XAG,0.049186000000000000
2022-08-01,SRD,24.329012000000000000
2022-08-01,SDG,568.495457000000000000
2022-08-01,SYP,2512.529433000000000000
2022-08-01,BOB,6.877568000000000000
2022-08-01,NIO,35.875023000000000000
2022-08-01,IQD,1460.000000000000000000
2022-08-01,LYD,4.859615000000000000
2022-08-01,MRO,356.999828000000000000
2022-08-01,RWF,1028.500000000000000000
2022-08-01,ILS,3.360535000000000000
2022-08-01,SOS,585.000120000000000000
2022-08-01,HRK,7.328500000000000000
2022-08-01,IDR,14845.000000000000000000
2022-08-01,SGD,1.376698000000000000
2022-08-01,EGP,18.977902000000000000
2022-08-01,CUC,1.000000000000000000
2022-08-01,CNY,6.768803000000000000
2022-08-01,COP,4259.330000000000000000
2022-08-01,MAD,10.293504000000000000
2022-08-01,SAR,3.755783000000000000
2022-08-01,CRC,668.497802000000000000
2022-08-01,ZAR,16.511150000000000000
2022-08-01,TMT,3.500000000000000000
2022-08-01,LAK,15099.999962000000000000
2022-08-01,MDL,19.306435000000000000
2022-08-01,ERN,15.000000000000000000
2022-08-01,XAU,0.000564000000000000
2022-08-01,INR,78.955950000000000000
2022-08-01,THB,36.141018000000000000
2022-08-01,CHF,0.950302000000000000
2022-08-01,BAM,1.908481000000000000
2022-08-01,ALL,113.550027000000000000
2022-08-01,MZN,63.830006000000000000
2022-08-01,GBP,0.816085000000000000
2022-08-01,AWG,1.802500000000000000
2022-08-01,KPW,899.999992000000000000
2022-08-01,HTG,119.044506000000000000
2022-08-01,GHS,8.509066000000000000
2022-08-01,LVL,0.604890000000000000
2022-08-01,MKD,60.053314000000000000
2022-08-01,CZK,23.999097000000000000
2022-08-01,CLP,891.749391000000000000
2022-08-01,GMD,54.150180000000000000
2022-08-01,PAB,1.000327000000000000
2022-08-01,UGX,3866.472810000000000000
2022-08-01,KES,119.000149000000000000
2022-08-01,BTC,0.000042891322000000
2022-08-01,SLL,13774.999744000000000000
2022-08-01,NOK,9.638515000000000000
2022-08-01,CDF,1999.999986000000000000
2022-08-01,UYU,41.039803000000000000
2022-08-01,CLF,0.032316000000000000
2022-08-01,BIF,2040.000000000000000000
2022-08-01,TND,3.121750000000000000
2022-08-01,AED,3.673098000000000000
2022-08-01,XAF,640.095435000000000000
2022-08-01,STD,20697.981008000000000000
2022-08-01,AUD,1.423771000000000000
2022-08-01,AMD,407.530254000000000000
2022-08-01,SEK,10.122365000000000000
2022-08-01,QAR,3.641023000000000000
2022-08-01,AZN,1.697181000000000000
2022-08-01,SCR,12.796836000000000000
2022-08-01,BGN,1.907145000000000000
2022-08-01,PKR,239.498850000000000000
2022-08-01,BSD,1.000327000000000000
2022-08-01,NZD,1.579515000000000000
2022-08-01,MMK,1852.159442000000000000
2022-08-01,XOF,640.497509000000000000
2022-08-01,IMP,0.842337000000000000
2022-08-01,PLN,4.597201000000000000
2022-08-01,UAH,36.927258000000000000
2022-08-01,SZL,16.513950000000000000
2022-08-01,YER,250.249626000000000000
2022-08-01,BYN,2.524955000000000000
2022-08-01,DOP,54.450117000000000000
2022-08-01,HNL,24.550194000000000000
2022-08-01,HUF,390.419695000000000000
2022-08-01,IRR,42349.999960000000000000
2022-08-01,FKP,0.842337000000000000
2022-08-01,NPR,126.462567000000000000
