device_id,date
7fe9c947663c37bb0fd5aabccc0f4108a00a9eb433ff0065cc6ebadb75bc3329,2022-09-22
8b1bda79ff714784b37cf7f3a1d1f7c9ee92644829e1388c5a456e4022b9fb1e,2022-09-22
ae50b5b5b766d624b17b7236993e48ed8b3a89fd1fd044d601917fa7ff696662,2022-09-22
6c09a27ef72010c82b8eb9a1b90ad7eb21616c1607478129303d39ebda91f2bc,2022-09-22
215cbb13f207bbd020c1d6735deb35162172356cf96823444f57b77b8bfbabff,2022-09-22
59907a5b1a3a9b001eaac942fe791ef1142e418ceca38d0fdf4b059ee49994be,2022-09-22
59907a5b1a3a9b001eaac942fe791ef1142e418ceca38d0fdf4b059ee49994be,2022-09-22
5f5656d4511ed1c13e412e3f82e06d2221ca4313e995fc2fc35273e994dde93c,2022-09-22
1e0cb50ecdd02a3f7ecdc6122b8360cb4c364855f551dc99b64f2978d5d8fb88,2022-09-22
b90d3a13385edb95ac8c2a2ba8780cc4941e77477f686e34285fa746f2568533,2022-09-22
bff23a65446a7d85d27999c3e8467f9575e1d8fc379b57ba3a02bdc4b0124ee1,2022-09-22
16ba2664c7d0b89bfa21161a64401f01e75cb33e7935b68c60b6ef5b98312712,2022-09-22
53f2b40e23e3e8109928be4ee718b3f6a722b03c4a350bc9f1d581b3e93e94da,2022-09-22
35308d2dfb492eb62265fa0b14af75c92305b0f88677e19b4d6cce46b74b3356,2022-09-22
b213795ff649e48511be4ba786f348549be2c3aa5ceeaafcc3dec9fb59565dc1,2022-09-22
67999cb9ac1bc918969f75ab293018a71da40f2f5932cdda8a75e6ec6d3d8531,2022-09-22
7bab18271b6378b0c7d7b3dad8589d3e30327911435af9c95cf78d65bed9633a,2022-09-22
e96653813a9ec5441ed0762157c5dab606a0d92837238e3d4f9faa6454971e64,2022-09-22
c8726ea2f3fb7482c13d0e3601ea5319e9a4bf93fdae2878fa04b0f1de1e7f5a,2022-09-22
8973a0080883372548f63050406bb4305ac6c745bffd4205a34ea378b1938735,2022-09-22
53dd64b6ebefc3382226dc00e940f7c48772bb310d58dab7e03a4185c1c2900a,2022-09-22
8c5b030b9c70e525ea0440bc560c0fc42a111541b8b64a14b4f7cd332da8d7e0,2022-09-22
1006f4dd2a08517653481e95f1637efed3bc1b8a9fde1b2f6ac4e3b7e254862f,2022-09-22
1006f4dd2a08517653481e95f1637efed3bc1b8a9fde1b2f6ac4e3b7e254862f,2022-09-22
96a7bc9e76ea0860d95492c94accfbb0ee5242f24410eb6eb0a38891687d4ab9,2022-09-22
47ad2b7da8a1bc54739fc564a81065fc508e85cb3f5a8d75ce6abc3fe6354d79,2022-09-22
d1623b027acc501c4cbb7e12a6027cc5fa9a15ebfe818f55d877cd2c719db82b,2022-09-22
16ba2664c7d0b89bfa21161a64401f01e75cb33e7935b68c60b6ef5b98312712,2022-09-22
16ba2664c7d0b89bfa21161a64401f01e75cb33e7935b68c60b6ef5b98312712,2022-09-22
16ba2664c7d0b89bfa21161a64401f01e75cb33e7935b68c60b6ef5b98312712,2022-09-22
3b06ac4c1092002d416aab87c95468dc0d893127ddf0a3d945301acf2277c438,2022-09-22
86472bed9c22f046b5ed6c4c75bb9dcd6cf9cb47d18000e71e1c567d8ba741df,2022-09-22
47ff81eac3826b31ca263ebffdfdee025095ace354f8cf7493503076e1983181,2022-09-22
e9a2f2da514798dbe2de97497e2b966d26004ec7b2a9d51f0c7f2777b99bf478,2022-09-22
8c60e1ab573f3ff38811e9f3812d0a311a080dae82c5898a4a6313efb1fbbe33,2022-09-22
14d7ac4e0c4ee01206e67ac8ac164a0c8a99f8a6c561129506953b40430177ef,2022-09-22
b2dd0ca3e118ea395420a078e997d026c11673481cc016bfa8d8e29d77237ae9,2022-09-22
dbc542bdf29757a5a85448c8ef1402f8f444151499a3e929adf22b733939b976,2022-09-22
15c65e12bf0d457fc80455d4f3a84cc6e187d78d0339bd2db6affd23e1a75198,2022-09-22
92f0e3054e91aa03bd532b52793785d37ef1f58811a017e2be4f1fecbac56ad0,2022-09-22
8561645774df96635e1a217931ba52bf1e6b9c5989ed1d25a5b778aae2200bed,2022-09-22
5595f5d52c533b470f142f464684148f7dbc923ca93bc42a8cfc64a6402e5b7b,2022-09-22
1a1b4e3e30fe9924a605cca1b72f110e1a5d4eff9b7dda71f119769bd2af1e74,2022-09-22
1a1b4e3e30fe9924a605cca1b72f110e1a5d4eff9b7dda71f119769bd2af1e74,2022-09-22
147287704166f8cf4bf085f2520d2e6ad4a83132188798aee7ad3eee3d2ffbd4,2022-09-22
501585ed7a06cdcdcb1f5be0fa95fd1b87f1a695a1af46b376cbeb4e44f590ce,2022-09-22
45ff165d823d827380c59ea39ab836cfad4180a227ae913e306f78c7cfa11da7,2022-09-22
45ff165d823d827380c59ea39ab836cfad4180a227ae913e306f78c7cfa11da7,2022-09-22
25d32c1eba87c3c78926fdb63efb535993e2f3e4d36e7eea51095090b86e47d5,2022-09-22
3305f3036646c485e7b5ae53753c792befffcdb330dfce63a275be4171a5c9aa,2022-09-22
443030756120a3bb4cdaf40c590b1029f2c5bbe9f16296893f896cb3c55d4295,2022-09-22
39fcfe3ba653d5e169aa2982076a60083cfa184f6cc31f86b775248025ea3b40,2022-09-22
ceb2aa9e7c4253d7536c7efa608748ff71b1672d1b11ccf18eedf251912e678f,2022-09-22
7047c0484dd27e404497dc485b9cb7e5bed6d7cde64b14c5f853034ee62c8859,2022-09-22
54e6ba46c79ab7bb60e1a986c34e3facf17e55768940030ebd75c03022afa5b4,2022-09-22
5b99aff6ca912b644e7fa3b79906a7469d03cc8de7f91ebb9d1fe22ba0abbe6c,2022-09-22
aaa892394ce98a2339db3fc0bfe894724cb24ba17f01a006703862d430c19ff7,2022-09-22
734fddfd1ac39fe4ac0aaddf6eb42fd9dec955893545100289345f5147cabbb4,2022-09-22
bbbe633d326668e27131bce9a149d20dfcabeec540c7849b231b2ae058924d03,2022-09-22
d11a73d9c8e070fd464d92f69b8c722cda34e6d179544bd20024668781de75f1,2022-09-22
d11a73d9c8e070fd464d92f69b8c722cda34e6d179544bd20024668781de75f1,2022-09-22
ffc9c3f6842936bff3f1e9826919f7e59581312bf5f4ae7ab10269f2d0c21b5e,2022-09-22
91078ce8c9cc921429b0d1bee42404b3b1ea7432a15d774044533e9d9622d09c,2022-09-22
91078ce8c9cc921429b0d1bee42404b3b1ea7432a15d774044533e9d9622d09c,2022-09-22
ffc9c3f6842936bff3f1e9826919f7e59581312bf5f4ae7ab10269f2d0c21b5e,2022-09-22
d68cc487f1257a933bf1eaf0234242ec7c17a9f2083b69a1f4b2e1d268ed41c1,2022-09-22
d68cc487f1257a933bf1eaf0234242ec7c17a9f2083b69a1f4b2e1d268ed41c1,2022-09-22
d68cc487f1257a933bf1eaf0234242ec7c17a9f2083b69a1f4b2e1d268ed41c1,2022-09-22
443030756120a3bb4cdaf40c590b1029f2c5bbe9f16296893f896cb3c55d4295,2022-09-22
